Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50
45 - 49;99;748;2098;2916;2710;1915;1172;785;469;448;332;255;214;162;144;384;269;217;182;233;334;386;456;575;693;606;613;694;877;897;1202;2037;3122;5820;8400;9478;9286;9673;9055;9237;11095;12446;9741;8551;9793;7957;6490;5302;4488;3552;3773;4045;4292;5188;6516;8163;7998;8772;10167;10667;9027;7444;5078;3585;2079;1307;873;471;274;260;333;437;689;910;1178;1953;3105;4114;4630;4541;3790;3337;3500;3815;4335;6600;9034;12132;18113;23468;27112;26228;22120;17176
40 - 44;85;566;1798;2322;2309;1675;1019;699;454;404;357;240;213;175;158;461;266;216;188;251;321;433;489;639;717;659;647;685;843;863;1053;1870;2902;5308;7879;8879;8996;9244;8807;8817;10903;11992;9507;8029;9550;7556;6229;5121;4275;3463;3591;4133;4274;5347;6983;9087;8326;9280;10726;10825;9573;7729;5331;3977;2204;1597;1077;530;355;271;345;508;734;991;1445;2355;3759;5188;5694;5427;4454;3907;4202;4391;5041;7603;10602;13861;21106;27948;33169;32487;27841;22193
35 - 39;67;548;1752;2384;2204;1648;982;761;465;423;351;274;242;156;194;388;296;224;203;253;359;383;513;642;760;716;645;699;906;1008;1153;1824;3099;5388;8080;8955;9193;9196;8719;9146;10990;12230;9523;8078;10147;8006;6342;5198;4461;3592;3708;4182;4575;5762;7585;9462;8984;9484;11269;11275;10016;7969;5620;4222;2414;1693;1101;547;364;339;381;647;907;1168;1596;2444;3770;5268;6002;5803;4823;4245;4544;4720;5348;7645;10568;14175;21166;28124;33577;33327;29326;23940
30 - 34;69;536;2049;2635;2420;1742;1206;901;563;486;394;316;269;207;223;420;324;259;259;300;382;423;516;709;946;859;937;940;1207;1301;1522;2360;3858;6712;9572;10473;10484;10083;9361;9471;11525;13025;10047;9194;11601;9042;7017;5760;4909;3906;4112;4526;4892;6018;7893;9868;9511;10137;12014;11857;10454;8274;5867;4534;2744;1751;1185;632;418;428;584;870;1307;1511;2080;3052;4385;5983;6583;6226;5108;4606;4773;4806;5361;8037;10760;13934;20285;26842;30907;30025;26941;22055
25 - 29;76;549;1995;2689;2484;1935;1286;996;681;522;390;346;314;222;242;399;321;314;229;309;410;510;604;839;1193;1222;1162;1226;1480;1436;1747;2685;4470;7323;10344;11150;10683;9918;8996;9146;10777;12105;9428;8425;10774;8536;6392;5336;4484;3659;3908;4151;4263;5468;7012;8402;8377;9215;10903;10792;9217;7450;5175;3947;2457;1598;1108;619;464;495;789;1331;1735;1952;2405;3594;5029;6326;6290;6067;4896;4115;4247;4292;4916;7239;9380;11973;17203;21485;22999;22198;19435;16231
20 - 24;70;321;1446;2269;2240;1727;1226;958;592;507;419;313;288;227;251;383;254;256;234;300;377;522;747;1159;1544;1329;1246;1284;1515;1584;1735;2792;4387;7565;10411;11729;11025;10199;8936;9177;10790;12095;9071;8586;10889;8538;6434;5240;4376;3664;3946;4198;4401;5423;6902;8552;8506;9802;11548;11266;9617;7832;5588;4179;2414;1736;1202;626;439;553;884;1504;2091;2329;2794;4427;5792;6888;6834;6222;4962;4124;4087;4158;4955;7248;9391;11860;17043;20458;22337;21105;18081;15450
15 - 19;44;181;537;934;1074;858;570;403;264;259;184;152;160;161;112;247;165;137;149;193;246;365;544;740;883;836;768;829;1040;1046;1330;2070;2956;4863;7188;8410;8716;8215;7462;7714;8821;8474;5878;4955;6380;5387;4200;3471;2918;2378;2619;3072;3210;4106;5539;7184;6609;7549;10816;10336;8657;7052;4938;3883;2238;1720;1232;681;444;414;581;1288;1612;1845;2370;3509;5571;6980;7781;6855;5648;4628;4580;4550;4896;6958;9841;11775;18434;21810;25096;24249;20452;16776
10 - 14;19;102;253;380;430;303;234;188;136;126;117;107;120;104;119;192;146;105;102;146;191;252;365;545;576;482;434;498;517;587;712;1142;1654;2743;4085;4782;5357;5300;5188;5156;5690;5286;3386;2651;3331;2714;2231;1880;1726;1409;1571;1877;2310;2870;4182;5730;4851;5179;7657;8736;7173;6126;4567;3760;2164;1582;1322;666;451;313;297;534;783;1005;1491;2611;5365;6925;8416;7741;7319;6291;6664;6512;6848;8978;13425;15536;27353;35190;40296;38396;33922;27748
5 - 9  ;10;56;169;249;291;237;163;155;120;105;111;79;112;99;123;177;138;121;115;137;152;198;285;410;380;353;318;325;356;390;433;621;973;1843;2793;3365;3619;3924;3827;3689;4264;4313;3024;1941;2392;2193;1904;1643;1603;1391;1550;2004;2729;3680;4764;6699;5193;4700;6997;8419;6870;5569;4114;3415;1877;1527;1145;567;348;242;208;325;479;728;1153;1842;3720;5599;7008;6593;5887;5287;5353;5093;5116;7423;11125;13294;24223;32146;36586;36329;33804;28352
0 - 4;9;35;143;254;270;237;158;186;133;138;116;122;87;107;110;159;135;143;147;140;162;150;188;276;284;222;227;226;290;298;327;523;890;1456;2227;2415;2412;2383;2315;2304;2658;3094;2106;1523;1900;1855;1695;1528;1512;1347;1376;1886;2371;2992;4049;5023;4466;4026;5087;5574;5060;4112;2963;2298;1410;1023;614;381;257;172;179;258;347;522;756;1235;1868;2958;3414;3498;2835;2333;2205;1856;2015;2711;3556;4439;7083;9591;11474;12114;12203;10788
