Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36
45 - 49;99;748;2098;2915;2710;1915;1173;786;468;448;331;253;214;162;144;384;269;217;182;232;334;387;456;573;693;606;613;696;878;897;1201;2035;3121;5820;8396;9476;9283;9674;9059;9235;11093;12442;9740;8552;9795;7954;6489;5305;4492;3551;3774;4049;4289;5186;6518;8158;7993;8770;10166;10673;9023;7441;5085;3589;2081;1307;872;471;274;259;333;436;688;911;1175;1947;3094;4110;4620;4493
40 - 44;85;566;1798;2324;2306;1676;1019;696;455;404;358;243;213;175;158;461;266;215;188;251;321;433;489;639;717;659;648;685;844;860;1052;1869;2904;5307;7882;8877;8993;9238;8808;8809;10903;11987;9512;8028;9546;7556;6229;5120;4276;3463;3592;4136;4273;5341;6982;9084;8325;9278;10724;10824;9579;7727;5333;3986;2206;1595;1077;527;354;270;344;505;735;987;1443;2349;3754;5175;5684;5361
35 - 39;67;548;1753;2384;2203;1651;982;763;463;423;351;273;242;155;194;388;296;224;203;253;358;383;515;643;760;716;646;699;906;1007;1153;1823;3098;5386;8083;8956;9189;9195;8715;9138;10992;12227;9524;8080;10147;8008;6342;5196;4460;3595;3708;4181;4576;5759;7587;9459;8987;9483;11265;11273;10030;7968;5627;4223;2415;1692;1099;546;362;339;379;647;906;1166;1592;2444;3764;5263;5988;5742
30 - 34;69;536;2049;2635;2418;1743;1206;900;562;487;394;315;269;207;223;420;324;259;259;300;382;424;515;708;945;861;937;940;1207;1302;1522;2359;3859;6717;9575;10475;10478;10082;9367;9469;11516;13026;10042;9194;11602;9048;7020;5765;4907;3904;4114;4530;4891;6019;7895;9869;9512;10133;12008;11855;10454;8276;5871;4543;2747;1753;1184;632;419;428;581;868;1306;1515;2073;3047;4381;5971;6579;6185
25 - 29;76;549;1995;2690;2485;1934;1288;995;681;522;392;345;314;222;242;399;321;314;229;309;409;510;604;838;1193;1222;1162;1228;1481;1436;1746;2684;4476;7318;10341;11150;10683;9921;8997;9147;10780;12105;9431;8423;10779;8536;6391;5340;4491;3658;3907;4150;4266;5464;7013;8399;8377;9209;10900;10790;9214;7458;5179;3949;2455;1601;1108;619;463;493;789;1326;1733;1953;2404;3592;5025;6323;6294;5975
20 - 24;70;322;1445;2268;2241;1729;1228;956;593;505;419;313;288;227;251;383;254;258;235;300;378;521;746;1160;1545;1329;1247;1282;1513;1584;1735;2791;4383;7564;10409;11734;11023;10197;8938;9174;10786;12095;9069;8587;10891;8535;6434;5241;4376;3662;3946;4198;4401;5421;6902;8554;8506;9796;11545;11270;9629;7836;5587;4184;2414;1738;1203;626;439;554;884;1508;2090;2327;2790;4427;5781;6878;6826;6151
15 - 19;43;181;537;935;1074;857;570;402;264;260;184;152;160;161;112;247;165;137;149;193;246;365;544;741;884;836;768;829;1040;1045;1331;2069;2959;4861;7189;8411;8715;8211;7458;7711;8817;8473;5870;4954;6380;5391;4200;3471;2917;2379;2619;3071;3213;4106;5537;7187;6608;7547;10810;10342;8660;7050;4941;3889;2239;1726;1229;680;442;413;580;1288;1612;1839;2370;3501;5575;6958;7776;6765
10 - 14;19;102;254;379;430;303;234;188;136;126;118;107;120;104;119;192;146;105;102;146;191;252;364;545;575;482;433;498;517;584;710;1140;1651;2747;4081;4785;5347;5297;5184;5154;5690;5284;3386;2652;3330;2717;2228;1879;1724;1409;1570;1879;2307;2868;4180;5731;4850;5179;7658;8732;7167;6127;4571;3763;2166;1580;1318;663;448;308;295;533;779;995;1488;2603;5356;6916;8387;7661
5 - 9;10;56;169;249;291;237;163;154;120;105;111;79;112;99;123;177;139;121;115;137;151;198;285;410;380;353;319;325;356;390;434;623;974;1841;2792;3363;3613;3917;3819;3682;4259;4301;3022;1944;2394;2194;1903;1644;1602;1390;1552;2003;2724;3676;4762;6700;5188;4696;6992;8413;6875;5565;4117;3411;1877;1525;1142;567;345;241;208;322;478;725;1155;1844;3721;5584;7005;6540
0 - 4;9;35;143;254;270;237;158;186;133;138;116;122;87;107;110;159;135;143;147;140;161;150;188;275;284;222;227;226;291;299;327;522;887;1458;2227;2413;2411;2378;2318;2301;2655;3094;2106;1524;1900;1856;1696;1528;1512;1347;1375;1885;2371;2990;4048;5022;4467;4026;5084;5580;5059;4115;2968;2298;1414;1022;614;381;257;173;179;258;346;522;758;1232;1866;2960;3417;3488
