Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9
45 - 49;99;741;2101;2923;2720;1922;1174;790;469;448;329;254;214;162;145;375;277;221;182;232;334;385;455;575;695;602;614;694;875;897;1199;2037;3128;5813;8390;9473;9299;9676;9061;9238;11102;12442;9733;8562;9794;7968;6465;5312;4497;3561;3770;4054;4261
40 - 44;85;566;1803;2328;2308;1675;1026;697;456;404;356;243;212;176;158;454;274;215;190;252;321;429;489;639;716;660;648;687;844;861;1051;1868;2906;5304;7875;8882;8989;9238;8810;8828;10899;12000;9528;8033;9525;7560;6226;5124;4287;3470;3588;4141;4251
35 - 39;66;547;1755;2383;2205;1653;982;764;464;421;353;275;240;157;195;383;298;226;206;251;360;383;514;644;760;716;650;701;901;1009;1154;1826;3106;5397;8087;8963;9192;9207;8719;9136;11001;12232;9530;8095;10136;8020;6339;5211;4472;3605;3729;4182;4535
30 - 34;69;535;2049;2638;2418;1752;1203;908;562;488;391;321;270;206;224;414;334;260;260;297;384;423;513;700;944;856;940;940;1206;1303;1524;2360;3860;6718;9575;10489;10490;10093;9382;9484;11535;13020;10047;9197;11597;9052;7031;5781;4919;3903;4113;4555;4869
25 - 29;77;546;2004;2693;2487;1933;1297;998;681;521;389;350;316;223;243;394;325;316;227;308;410;510;607;838;1195;1221;1158;1230;1483;1439;1746;2690;4476;7318;10336;11152;10705;9943;9009;9145;10805;12110;9438;8429;10796;8537;6402;5351;4488;3658;3901;4158;4244
20 - 24;70;324;1449;2270;2244;1735;1234;961;595;508;416;315;289;230;249;376;260;258;237;300;378;521;745;1166;1545;1326;1250;1287;1516;1583;1741;2788;4383;7552;10430;11742;11042;10223;8944;9196;10793;12105;9080;8607;10892;8516;6443;5245;4380;3664;3957;4206;4376
15 - 19;42;183;541;938;1077;856;572;401;265;260;181;153;162;161;111;240;169;138;149;191;247;364;542;742;881;833;770;831;1040;1046;1327;2067;2962;4858;7194;8411;8714;8202;7458;7728;8838;8467;5875;4954;6379;5409;4206;3481;2920;2380;2624;3071;3179
10 - 14;20;101;253;379;430;303;236;188;136;125;117;108;119;103;119;192;146;105;102;148;191;251;364;544;577;483;430;498;518;586;708;1142;1653;2744;4084;4772;5341;5300;5185;5159;5690;5287;3377;2648;3321;2727;2223;1881;1727;1412;1578;1883;2278
5 - 9;10;56;169;249;293;236;163;153;120;105;110;81;113;99;123;176;139;124;115;136;151;198;285;407;380;353;318;325;354;388;433;625;970;1832;2792;3363;3615;3917;3815;3679;4268;4309;3029;1940;2399;2204;1901;1643;1605;1391;1549;2008;2702
0 - 4;9;36;143;254;272;236;161;185;132;138;116;122;88;108;110;160;136;141;147;140;161;150;189;276;283;223;227;226;291;301;325;524;887;1460;2242;2418;2422;2380;2327;2308;2675;3112;2119;1534;1927;1864;1702;1537;1509;1351;1377;1893;2366
