Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22
45 - 49;99;744;2102;2916;2710;1914;1171;786;469;448;330;253;214;162;145;375;278;220;180;232;335;386;457;575;695;603;615;695;877;895;1199;2034;3122;5817;8384;9481;9287;9676;9064;9235;11099;12440;9737;8557;9795;7964;6481;5304;4492;3561;3771;4055;4297;5190;6518;8183;7988;8766;10170;10687;9031;7444;5083;3598;2083;1294
40 - 44;85;564;1801;2325;2304;1678;1022;698;456;403;358;244;212;175;157;452;273;214;190;251;320;431;490;639;716;660;648;686;844;860;1052;1869;2903;5303;7880;8875;8989;9240;8815;8827;10898;11989;9516;8032;9546;7569;6229;5111;4286;3471;3593;4142;4274;5348;6991;9119;8332;9279;10726;10858;9590;7727;5344;3990;2206;1588
35 - 39;67;546;1752;2380;2203;1652;982;764;463;423;352;274;241;156;194;384;300;225;204;251;358;383;515;643;760;714;649;699;902;1008;1154;1824;3102;5392;8088;8961;9188;9199;8717;9144;10997;12226;9530;8094;10136;8013;6336;5197;4467;3596;3723;4182;4585;5771;7601;9468;8997;9495;11284;11281;10021;7982;5639;4230;2413;1668
30 - 34;69;537;2049;2635;2419;1745;1203;904;563;487;394;315;269;206;224;412;332;257;259;299;382;424;514;701;946;859;937;939;1208;1300;1524;2360;3858;6713;9573;10487;10476;10088;9368;9480;11519;13027;10051;9199;11603;9060;7031;5771;4909;3904;4113;4541;4897;6027;7901;9889;9525;10151;12015;11872;10461;8280;5872;4558;2744;1758
25 - 29;76;548;1994;2689;2485;1933;1294;994;682;522;391;345;315;222;243;391;326;315;227;309;409;510;605;838;1194;1223;1160;1229;1481;1436;1744;2687;4480;7314;10343;11158;10693;9931;9005;9149;10786;12117;9443;8422;10786;8546;6398;5353;4494;3659;3900;4153;4276;5482;7017;8426;8376;9225;10910;10811;9209;7473;5197;3941;2455;1587
20 - 24;70;322;1444;2270;2243;1736;1229;959;594;506;419;313;288;229;249;379;260;258;237;300;378;521;745;1165;1547;1326;1249;1284;1516;1584;1740;2788;4383;7556;10423;11732;11027;10209;8943;9189;10793;12102;9086;8593;10883;8529;6436;5243;4382;3656;3957;4201;4405;5433;6906;8567;8525;9797;11564;11293;9636;7817;5597;4203;2407;1714
15 - 19;42;182;537;938;1075;856;571;403;264;261;183;152;160;160;111;240;169;138;151;191;246;366;542;742;880;835;771;832;1039;1046;1328;2068;2959;4855;7192;8408;8711;8203;7458;7724;8834;8471;5872;4954;6373;5406;4205;3476;2924;2380;2620;3071;3217;4118;5543;7189;6602;7564;10806;10356;8661;7060;4939;3890;2234;1699
10 - 14;20;102;254;379;429;305;236;188;136;125;118;107;119;103;119;192;146;105;103;147;191;252;365;545;577;482;431;499;518;584;710;1143;1652;2744;4088;4773;5338;5298;5192;5163;5696;5292;3383;2650;3332;2725;2222;1876;1725;1411;1574;1881;2311;2873;4174;5731;4852;5174;7658;8745;7172;6135;4564;3772;2163;1573
5 - 9;10;56;169;248;292;237;163;154;120;105;111;79;113;99;123;176;138;122;115;136;151;198;285;409;382;353;320;324;355;388;433;626;972;1834;2793;3365;3614;3920;3818;3681;4266;4310;3025;1941;2391;2202;1903;1645;1603;1390;1554;2004;2733;3678;4770;6704;5200;4698;6989;8421;6883;5579;4118;3416;1872;1515
0 - 4;9;36;143;254;271;237;160;185;133;138;116;122;87;107;110;159;136;143;147;140;161;150;188;275;283;223;226;226;291;301;327;522;888;1456;2234;2414;2416;2377;2324;2310;2662;3105;2115;1531;1908;1859;1698;1532;1509;1351;1379;1887;2374;2998;4051;5026;4474;4028;5095;5590;5073;4122;2969;2310;1416;1020
