Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3
45 - 49;99;748;2097;2916;2710;1916;1172;785;469;448;331;255;214;162;144;384;269;217;182;233;334;386;456;575;693;606;614;694;877;897;1202;2037;3121;5820;8398;9478;9287;9674;9056;9238;11095;12443;9738;8552;9795;7965;6490;5301;4488;3552;3774;4045;4291;5191;6516;8163;7998;8770;10165;10668;9025;7447;5078;3584;2079;1307;873;471;274;260;333;437;690;911;1179;1953;3104;4117;4629;4543;3790;3338;3500;3813;4335;6603;9040;12134;18109;23470;27117;26223;22145;17282;12092;13163;21146;30846;46038
40 - 44;85;566;1798;2322;2309;1675;1019;699;454;405;357;240;213;175;158;461;266;216;188;251;321;433;489;639;718;659;647;686;843;864;1053;1871;2903;5308;7881;8876;8994;9246;8810;8813;10904;11991;9506;8033;9559;7557;6230;5121;4275;3462;3592;4133;4275;5346;6983;9083;8326;9281;10728;10828;9572;7729;5333;3976;2205;1597;1077;529;357;272;345;508;733;991;1445;2354;3759;5192;5695;5426;4458;3911;4202;4396;5045;7609;10604;13870;21120;27952;33177;32505;27863;22315;15484;16456;24490;35940;59792
35 - 39;67;548;1752;2385;2204;1647;982;761;465;423;351;274;242;156;194;388;296;224;204;253;359;383;513;643;760;716;645;699;905;1008;1153;1825;3100;5388;8080;8954;9189;9195;8717;9144;10986;12230;9523;8080;10148;8011;6344;5199;4462;3591;3708;4181;4576;5763;7588;9461;8982;9483;11268;11275;10014;7966;5622;4225;2414;1692;1101;546;365;339;381;647;907;1168;1596;2446;3770;5267;6003;5804;4823;4248;4543;4722;5350;7650;10570;14177;21172;28115;33614;33352;29351;24093;17283;18604;27244;39130;67672
30 - 34;69;536;2049;2635;2420;1742;1206;901;563;485;394;316;269;207;223;420;324;259;259;301;382;423;517;709;946;859;937;938;1208;1301;1522;2358;3857;6712;9570;10474;10483;10081;9357;9472;11527;13020;10042;9196;11599;9045;7015;5761;4909;3904;4113;4526;4892;6018;7896;9867;9508;10139;12012;11854;10452;8270;5865;4534;2744;1751;1187;633;418;428;584;870;1305;1511;2079;3052;4386;5982;6583;6230;5105;4608;4776;4810;5363;8041;10759;13934;20281;26826;30931;30030;26960;22180;16966;19988;32944;43954;67757
25 - 29;76;549;1994;2689;2484;1935;1285;996;681;522;390;346;314;222;242;399;321;314;229;309;410;510;604;839;1194;1222;1162;1226;1480;1435;1748;2686;4469;7323;10343;11149;10683;9917;8994;9143;10775;12102;9425;8428;10777;8542;6394;5336;4485;3660;3911;4151;4263;5468;7013;8399;8378;9212;10902;10796;9215;7452;5177;3946;2456;1598;1109;620;463;495;790;1331;1734;1955;2404;3597;5032;6325;6292;6068;4897;4117;4248;4293;4919;7242;9383;11972;17198;21491;23010;22198;19446;16336;13783;19197;37591;45491;60500
20 - 24;70;322;1446;2270;2240;1726;1228;958;592;507;419;313;288;227;251;383;254;256;234;302;377;522;747;1159;1543;1329;1246;1284;1515;1584;1734;2792;4387;7566;10410;11728;11020;10200;8936;9176;10790;12092;9070;8584;10892;8541;6435;5240;4379;3665;3946;4199;4401;5424;6903;8553;8506;9799;11548;11269;9620;7828;5588;4180;2414;1736;1202;626;440;554;884;1505;2089;2330;2794;4426;5793;6888;6835;6226;4960;4124;4088;4162;4959;7253;9386;11863;17038;20449;22323;21112;18107;15541;13153;19861;40940;46915;57681
15 - 19;44;182;537;934;1074;859;570;403;264;259;184;152;160;161;112;247;165;138;150;194;247;365;545;740;882;835;768;829;1039;1046;1328;2071;2958;4863;7188;8411;8716;8216;7459;7714;8822;8476;5876;4956;6384;5386;4200;3471;2919;2378;2620;3071;3209;4105;5539;7184;6610;7552;10820;10340;8655;7052;4940;3883;2239;1718;1233;684;444;414;581;1287;1615;1844;2371;3506;5569;6981;7785;6856;5649;4628;4580;4551;4900;6963;9840;11776;18440;21823;25113;24260;20482;16881;12044;14649;30255;46587;61210
10 - 14;19;101;253;380;430;303;234;189;136;126;117;107;120;104;119;192;147;105;102;146;191;252;365;545;576;482;433;498;517;587;713;1141;1653;2743;4084;4782;5358;5302;5188;5155;5691;5286;3387;2656;3334;2717;2232;1881;1727;1409;1572;1877;2312;2870;4184;5731;4850;5179;7657;8736;7173;6126;4565;3763;2165;1583;1323;667;454;313;297;536;783;1005;1492;2610;5364;6925;8418;7742;7321;6294;6665;6517;6855;8985;13437;15540;27370;35212;40330;38426;34017;27980;18365;14317;21458;43460;80273
5 - 9;10;56;169;250;292;237;163;155;120;105;111;79;113;99;123;177;138;121;115;136;152;198;286;410;379;354;319;325;356;390;433;621;973;1844;2794;3365;3621;3922;3828;3690;4272;4318;3028;1945;2395;2200;1906;1644;1602;1392;1550;2004;2729;3679;4764;6697;5197;4700;6998;8421;6874;5571;4115;3415;1877;1528;1147;567;350;243;209;325;479;728;1153;1842;3723;5599;7008;6597;5889;5290;5353;5094;5124;7430;11127;13304;24232;32164;36640;36359;33928;28581;19236;13275;18178;42521;89499
0 - 4;9;35;143;254;270;237;158;186;133;138;116;122;87;107;110;159;136;143;147;141;162;150;188;275;284;222;227;226;290;298;327;523;890;1456;2227;2415;2412;2384;2317;2303;2662;3093;2107;1527;1903;1855;1699;1528;1512;1347;1379;1886;2371;2993;4050;5022;4466;4026;5089;5575;5059;4112;2964;2300;1411;1025;614;381;257;173;180;258;347;522;756;1234;1868;2959;3416;3496;2834;2336;2206;1858;2015;2711;3557;4438;7087;9605;11471;12129;12219;10846;7559;6340;9127;18926;39266
