Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27
45 - 49;99;747;2099;2915;2711;1916;1173;786;468;448;331;253;214;162;145;381;269;220;182;232;335;386;457;573;693;605;615;696;877;896;1199;2034;3121;5821;8387;9482;9277;9672;9065;9234;11096;12438;9736;8554;9800;7959;6489;5304;4491;3552;3776;4052;4294;5185;6524;8168;7987;8765;10165;10685;9029;7447;5088;3595;2083;1307;875;472;273;254;338
40 - 44;85;567;1797;2324;2305;1678;1019;696;455;403;359;243;212;175;158;462;266;215;189;251;321;431;490;639;717;660;648;686;844;860;1054;1871;2903;5303;7886;8874;8992;9236;8814;8820;10903;11998;9511;8029;9551;7562;6229;5115;4282;3470;3593;4140;4273;5341;6984;9104;8330;9275;10731;10848;9586;7728;5344;3989;2210;1601;1080;524;353;271;339
35 - 39;67;547;1754;2384;2203;1651;982;762;465;424;351;273;242;155;194;387;296;225;203;253;358;383;515;643;761;716;645;699;906;1007;1153;1822;3098;5389;8085;8965;9186;9192;8717;9145;10995;12231;9529;8090;10145;8009;6340;5194;4462;3595;3716;4181;4580;5758;7591;9467;8990;9494;11271;11285;10024;7968;5637;4228;2420;1693;1102;554;363;342;375
30 - 34;69;536;2050;2635;2419;1743;1205;900;563;487;394;315;269;207;224;419;325;259;259;298;383;424;515;705;945;860;939;939;1206;1302;1523;2359;3857;6714;9572;10479;10480;10085;9364;9476;11521;13034;10048;9197;11608;9054;7028;5768;4909;3904;4116;4537;4896;6025;7899;9883;9517;10147;12013;11873;10456;8282;5872;4552;2747;1758;1182;631;420;426;575
25 - 29;76;548;1995;2690;2488;1934;1289;996;682;523;391;345;314;222;242;399;321;314;229;309;409;510;605;838;1195;1222;1161;1229;1482;1436;1745;2686;4477;7314;10344;11153;10692;9923;8998;9155;10784;12115;9442;8420;10787;8543;6398;5350;4491;3661;3905;4150;4271;5468;7014;8419;8379;9219;10902;10797;9211;7474;5190;3951;2454;1606;1110;622;461;488;777
20 - 24;70;322;1445;2268;2245;1733;1227;957;593;506;419;313;288;227;250;380;257;258;236;300;378;521;745;1162;1546;1325;1249;1282;1512;1585;1737;2789;4383;7569;10416;11731;11019;10199;8940;9183;10787;12106;9077;8591;10894;8532;6436;5243;4378;3654;3948;4201;4401;5424;6903;8563;8516;9796;11549;11289;9638;7840;5592;4189;2414;1745;1206;627;441;543;861
15 - 19;43;181;537;938;1074;857;572;402;265;260;183;152;160;161;112;246;166;137;151;191;246;365;542;741;881;835;769;831;1040;1046;1329;2067;2960;4859;7186;8412;8706;8206;7458;7722;8829;8469;5870;4959;6383;5393;4203;3475;2922;2377;2619;3071;3213;4111;5540;7187;6607;7559;10818;10353;8662;7058;4940;3893;2237;1725;1232;680;442;415;570
10 - 14;19;102;254;379;430;303;234;188;136;126;118;107;120;104;119;192;146;105;103;147;191;252;364;545;576;482;434;498;517;584;709;1140;1650;2748;4082;4777;5342;5299;5187;5166;5695;5288;3383;2652;3332;2717;2227;1879;1726;1411;1570;1880;2309;2871;4181;5731;4848;5174;7657;8741;7172;6142;4565;3763;2166;1584;1322;663;444;309;294
5 - 9;10;56;169;249;291;237;163;154;120;105;111;79;112;99;123;176;138;122;115;137;151;198;284;411;379;353;319;325;356;389;433;625;972;1836;2791;3365;3616;3920;3816;3680;4264;4306;3023;1943;2392;2194;1903;1643;1601;1390;1552;2003;2729;3680;4769;6707;5191;4697;6986;8415;6878;5577;4114;3421;1876;1527;1141;566;344;239;197
0 - 4;9;35;143;253;270;237;158;185;133;138;116;122;87;107;110;159;136;143;147;140;161;150;188;275;283;223;226;226;291;300;326;523;887;1457;2228;2416;2413;2376;2322;2305;2665;3095;2109;1525;1902;1860;1697;1530;1510;1349;1378;1883;2371;2991;4048;5027;4471;4027;5088;5588;5064;4118;2964;2304;1414;1024;614;381;259;177;180
