Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8
45 - 49;99;741;2101;2923;2720;1922;1174;790;469;448;330;254;214;162;145;375;277;221;182;232;334;386;456;575;695;602;614;694;875;898;1199;2038;3131;5812;8391;9473;9295;9676;9065;9235;11100;12440;9731;8557;9790;7976;6466;5317;4498;3560;3764;4019
40 - 44;85;566;1804;2328;2308;1675;1025;697;456;404;356;243;212;176;158;454;274;215;191;252;322;429;489;641;716;660;647;688;844;861;1050;1869;2907;5302;7877;8883;8992;9234;8808;8827;10898;11999;9528;8032;9523;7568;6232;5123;4290;3466;3579;4090
35 - 39;66;547;1755;2383;2205;1654;982;764;464;420;353;275;240;157;195;383;298;226;206;251;360;383;514;644;761;716;650;700;901;1009;1155;1826;3107;5400;8089;8962;9191;9204;8718;9137;10999;12229;9528;8095;10137;8021;6347;5222;4475;3606;3721;4139
30 - 34;69;535;2050;2638;2418;1752;1203;908;562;488;392;321;270;206;224;414;334;260;259;297;384;423;514;700;945;856;940;942;1206;1302;1524;2362;3860;6718;9575;10487;10491;10094;9382;9484;11535;13019;10052;9195;11592;9055;7032;5781;4925;3902;4113;4525
25 - 29;77;546;2004;2693;2487;1934;1297;998;681;521;389;350;316;223;243;394;325;316;227;308;410;510;607;838;1195;1222;1159;1231;1484;1440;1747;2690;4479;7319;10334;11152;10704;9942;9006;9141;10798;12114;9437;8433;10795;8539;6403;5355;4491;3657;3900;4141
20 - 24;70;324;1449;2270;2243;1734;1234;961;595;508;417;315;289;230;249;376;260;258;237;302;379;520;745;1166;1547;1326;1250;1288;1517;1584;1740;2789;4382;7552;10434;11743;11039;10221;8945;9192;10792;12106;9076;8606;10891;8517;6448;5246;4386;3666;3967;4186
15 - 19;42;183;541;938;1077;856;572;401;265;260;181;153;162;161;111;240;169;138;149;191;247;364;543;742;881;833;770;831;1039;1046;1327;2068;2962;4857;7192;8412;8714;8202;7462;7724;8836;8465;5872;4954;6378;5413;4209;3483;2920;2376;2620;3041
10 - 14;20;101;253;379;430;303;236;188;136;125;117;108;119;103;119;192;146;105;102;148;191;251;364;544;577;483;430;498;518;586;708;1142;1653;2744;4083;4775;5341;5301;5185;5159;5690;5285;3377;2648;3316;2727;2220;1880;1726;1411;1573;1872
5 - 9;10;56;169;249;293;236;163;153;120;105;110;81;113;99;123;176;139;124;115;136;151;198;285;407;380;353;318;325;354;388;433;625;970;1833;2794;3363;3614;3918;3815;3679;4267;4309;3029;1938;2397;2204;1900;1640;1607;1391;1550;1988
0 - 4;9;36;143;254;272;236;161;185;132;138;116;122;88;108;110;160;136;141;147;140;161;151;189;276;283;223;227;226;291;302;325;524;888;1460;2242;2419;2423;2380;2324;2306;2674;3110;2118;1534;1928;1865;1702;1536;1509;1350;1373;1878
