Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4
45 - 49;99;748;2097;2916;2710;1916;1172;785;470;448;331;256;214;162;144;384;269;217;182;234;334;386;456;574;693;606;614;694;877;897;1202;2038;3120;5820;8398;9478;9286;9673;9056;9239;11097;12444;9738;8554;9794;7966;6490;5303;4488;3552;3772;4045;4291;5190;6516;8163;7999;8771;10165;10668;9024;7448;5078;3584;2079;1307;873;471;274;260;333;437;690;911;1179;1952;3104;4117;4629;4543;3790;3339;3500;3814;4335;6604;9040;12134;18109;23470;27114;26223;22144;17269;12087;13158;21146;30849;47773;65665
40 - 44;85;566;1799;2322;2309;1675;1018;699;454;405;357;240;213;175;158;461;266;217;188;251;322;433;489;639;718;660;647;686;843;864;1053;1873;2903;5309;7881;8875;8991;9246;8810;8812;10904;11991;9506;8033;9560;7554;6231;5124;4277;3462;3592;4135;4275;5346;6982;9081;8326;9279;10730;10829;9573;7729;5333;3977;2205;1597;1076;529;357;274;345;509;733;991;1445;2355;3761;5192;5695;5426;4458;3910;4202;4396;5046;7608;10603;13868;21120;27954;33177;32514;27863;22304;15481;16460;24477;35959;62127;91001
35 - 39;67;548;1752;2385;2204;1646;982;761;466;423;351;274;242;156;194;388;296;224;204;253;360;383;514;644;760;716;645;699;905;1007;1153;1826;3100;5388;8080;8954;9189;9193;8719;9144;10986;12227;9523;8080;10146;8010;6343;5200;4463;3592;3709;4181;4576;5763;7586;9462;8981;9480;11269;11275;10012;7966;5623;4224;2415;1692;1100;547;365;339;381;647;908;1168;1596;2446;3771;5268;6002;5804;4823;4248;4544;4722;5350;7648;10572;14175;21173;28115;33614;33355;29337;24081;17270;18597;27238;39165;70177;99499
30 - 34;69;536;2049;2634;2419;1742;1206;901;563;484;394;316;268;207;224;420;324;260;259;301;382;423;517;709;946;859;937;938;1207;1301;1522;2357;3857;6711;9568;10474;10485;10081;9357;9472;11527;13019;10041;9196;11598;9045;7013;5768;4910;3904;4114;4526;4892;6017;7896;9867;9508;10138;12011;11853;10451;8270;5866;4534;2744;1751;1187;633;418;428;583;870;1305;1511;2079;3052;4386;5982;6583;6230;5105;4607;4776;4810;5362;8042;10759;13932;20283;26828;30936;30036;26958;22163;16965;19993;32922;43984;70303;92646
25 - 29;76;549;1994;2689;2484;1934;1285;996;682;522;390;346;314;222;243;399;321;314;229;309;410;512;604;839;1194;1222;1162;1226;1480;1435;1748;2686;4467;7323;10341;11149;10682;9918;8994;9143;10775;12101;9423;8428;10775;8540;6398;5337;4484;3660;3910;4152;4263;5468;7010;8399;8376;9212;10903;10796;9215;7452;5175;3946;2456;1598;1108;620;463;495;790;1330;1734;1955;2404;3597;5033;6323;6293;6067;4897;4117;4248;4293;4920;7242;9383;11968;17197;21493;23011;22203;19441;16329;13770;19182;37546;45494;62786;74615
20 - 24;70;322;1446;2270;2240;1726;1228;958;592;508;419;313;288;227;251;383;254;256;234;302;377;522;747;1159;1543;1329;1246;1284;1515;1584;1734;2792;4387;7566;10411;11728;11021;10201;8936;9177;10790;12092;9069;8583;10891;8541;6436;5245;4379;3665;3945;4199;4401;5424;6903;8553;8506;9797;11547;11269;9620;7830;5589;4180;2412;1736;1202;626;441;554;884;1505;2090;2330;2794;4426;5794;6889;6835;6226;4959;4123;4088;4162;4959;7255;9388;11864;17037;20451;22320;21108;18101;15541;13145;19847;40918;46908;59677;71205
15 - 19;44;182;537;934;1074;859;570;403;264;259;184;152;160;161;112;247;165;138;150;194;247;365;545;740;883;835;769;829;1039;1046;1328;2071;2956;4863;7188;8412;8716;8217;7458;7714;8823;8475;5878;4956;6384;5386;4200;3471;2920;2378;2621;3071;3209;4105;5539;7184;6610;7550;10821;10339;8656;7050;4939;3884;2239;1718;1235;684;444;414;581;1287;1615;1844;2371;3506;5569;6980;7787;6856;5648;4627;4583;4550;4900;6961;9841;11774;18442;21823;25114;24267;20479;16875;12039;14643;30267;46649;63434;82489
10 - 14;19;101;253;380;430;303;234;189;136;126;117;107;121;104;119;192;147;105;102;146;191;252;365;545;577;482;433;498;517;587;713;1141;1653;2743;4083;4782;5356;5305;5189;5156;5694;5286;3387;2656;3334;2718;2235;1885;1728;1410;1573;1877;2312;2871;4185;5731;4850;5179;7657;8735;7174;6126;4566;3760;2166;1584;1323;667;454;314;298;536;783;1005;1491;2610;5364;6925;8417;7741;7321;6295;6666;6517;6855;8985;13436;15537;27366;35215;40337;38424;34013;27971;18364;14320;21464;43513;83358;122762
5 - 9;10;56;169;250;292;236;163;155;120;105;111;79;113;99;123;177;138;121;115;137;153;197;286;410;379;354;319;325;356;391;433;621;974;1844;2794;3366;3624;3925;3828;3692;4274;4319;3029;1945;2398;2199;1907;1648;1603;1392;1549;2006;2729;3680;4764;6697;5199;4700;7000;8420;6875;5570;4116;3417;1877;1529;1147;567;350;243;211;325;479;728;1153;1842;3722;5598;7008;6596;5891;5289;5355;5096;5122;7429;11127;13301;24233;32165;36644;36364;33922;28552;19236;13276;18189;42543;92939;125695
0 - 4;9;35;143;254;270;238;158;186;133;138;116;122;87;107;110;159;136;143;147;141;162;150;188;274;284;222;227;226;290;298;327;523;890;1457;2228;2414;2412;2385;2318;2303;2663;3094;2107;1528;1904;1855;1699;1529;1513;1347;1379;1886;2371;2994;4051;5024;4465;4027;5089;5576;5060;4112;2965;2300;1410;1025;614;381;257;173;180;258;347;522;756;1234;1868;2959;3414;3496;2834;2334;2207;1858;2015;2711;3557;4437;7087;9606;11469;12124;12214;10834;7553;6339;9129;18967;40788;49011
