Altersmedian/-mittelwert für Hospitalisierte, Patienten auf Intensivstation und Verstorbene von an das RKI übermittelten COVID-19-Fällen für die Meldewochen KW 10 – 53/2020 und KW 01 - 41/2021;;;;;;;;;;;;;;;
Stand: 20.10.2021 07:42:47;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Meldejahr;Meldewoche;Alle_Altersmedian;Hosp_Altersmedian;ITS_Altersmedian;Verstorben_Altersmedian;;;;Meldejahr;Meldewoche;Fälle gesamt;Alle_MW_Alter;Hosp_MW_Alter;ITS_MW_Alter;Verst_MW_Alter
2021;25;30;53;61;71.5;;;;2021;25;4817;32;51;58;73
2021;26;29;54;61;76;;;;2021;26;4351;32;51;62;73
2021;27;28;53;59;79.5;;;;2021;27;5565;32;52;59;75
2021;28;27;47;54;79;;;;2021;28;9089;30;49;54;75
2021;29;27;48;57;74;;;;2021;29;12619;30;48;57;72
2021;30;28;50;58.5;74.5;;;;2021;30;15490;31;49;57;73
2021;31;28;47;56.5;80;;;;2021;31;20392;30;48;57;75
2021;32;28;48;56;75;;;;2021;32;32045;30;48;55;72
2021;33;27;48;56;77;;;;2021;33;49593;29;48;55;72
2021;34;27;49;55;78;;;;2021;34;66287;29;49;55;74
2021;35;28;51;57;78;;;;2021;35;74649;30;51;57;74
2021;36;29;53;62;80;;;;2021;36;71622;30;53;60;75
2021;37;29;55;61;82;;;;2021;37;61399;31;54;60;77
2021;38;30;56;62;82;;;;2021;38;53567;31;54;60;79
2021;39;31;59;63;83;;;;2021;39;56410;32;56;61;79
2021;40;32;63;63;84;;;;2021;40;57797;34;59;62;81
2021;41;33;64;66;83.5;;;;2021;41;64723;34;60;64;79
