publication	date	deaths
2020-05-16	2020-04-13	235
2020-05-16	2020-04-14	241
2020-05-16	2020-04-15	218
2020-05-16	2020-04-16	232
2020-05-16	2020-04-17	228
2020-05-16	2020-04-18	179
2020-05-16	2020-04-19	202
2020-05-16	2020-04-20	204
2020-05-16	2020-04-21	166
2020-05-16	2020-04-22	187
2020-05-16	2020-04-23	147
2020-05-16	2020-04-24	155
2020-05-16	2020-04-25	121
2020-05-16	2020-04-26	139
2020-05-16	2020-04-27	116
2020-05-16	2020-04-28	119
2020-05-16	2020-04-29	123
2020-05-16	2020-04-30	114
2020-05-16	2020-05-01	97
2020-05-16	2020-05-02	75
2020-05-16	2020-05-03	86
2020-05-16	2020-05-04	75
2020-05-16	2020-05-05	84
2020-05-16	2020-05-06	72
2020-05-16	2020-05-07	50
2020-05-16	2020-05-08	50
2020-05-16	2020-05-09	47
2020-05-16	2020-05-10	57
2020-05-16	2020-05-11	54
2020-05-16	2020-05-12	32
2020-05-16	2020-05-13	30
2020-05-16	2020-05-14	28
2020-05-16	2020-05-15	5
2020-05-17	2020-03-07	0
2020-05-17	2020-03-08	1
2020-05-17	2020-03-09	2
2020-05-17	2020-03-10	1
2020-05-17	2020-03-11	1
2020-05-17	2020-03-12	4
2020-05-17	2020-03-13	2
2020-05-17	2020-03-14	3
2020-05-17	2020-03-15	4
2020-05-17	2020-03-16	11
2020-05-17	2020-03-17	12
2020-05-17	2020-03-18	12
2020-05-17	2020-03-19	21
2020-05-17	2020-03-20	39
2020-05-17	2020-03-21	24
2020-05-17	2020-03-22	41
2020-05-17	2020-03-23	40
2020-05-17	2020-03-24	64
2020-05-17	2020-03-25	75
2020-05-17	2020-03-26	90
2020-05-17	2020-03-27	102
2020-05-17	2020-03-28	106
2020-05-17	2020-03-29	115
2020-05-17	2020-03-30	170
2020-05-17	2020-03-31	162
2020-05-17	2020-04-01	163
2020-05-17	2020-04-02	199
2020-05-17	2020-04-03	195
2020-05-17	2020-04-04	220
2020-05-17	2020-04-05	234
2020-05-17	2020-04-06	239
2020-05-17	2020-04-07	246
2020-05-17	2020-04-08	251
2020-05-17	2020-04-09	251
2020-05-17	2020-04-10	232
2020-05-17	2020-04-11	238
2020-05-17	2020-04-12	229
2020-05-17	2020-04-13	237
2020-05-17	2020-04-14	241
2020-05-17	2020-04-15	218
2020-05-17	2020-04-16	232
2020-05-17	2020-04-17	229
2020-05-17	2020-04-18	180
2020-05-17	2020-04-19	203
2020-05-17	2020-04-20	204
2020-05-17	2020-04-21	168
2020-05-17	2020-04-22	187
2020-05-17	2020-04-23	147
2020-05-17	2020-04-24	155
2020-05-17	2020-04-25	121
2020-05-17	2020-04-26	140
2020-05-17	2020-04-27	119
2020-05-17	2020-04-28	120
2020-05-17	2020-04-29	122
2020-05-17	2020-04-30	115
2020-05-17	2020-05-01	98
2020-05-17	2020-05-02	75
2020-05-17	2020-05-03	87
2020-05-17	2020-05-04	75
2020-05-17	2020-05-05	84
2020-05-17	2020-05-06	72
2020-05-17	2020-05-07	51
2020-05-17	2020-05-08	50
2020-05-17	2020-05-09	49
2020-05-17	2020-05-10	58
2020-05-17	2020-05-11	56
2020-05-17	2020-05-12	35
2020-05-17	2020-05-13	35
2020-05-17	2020-05-14	34
2020-05-17	2020-05-15	9
2020-05-18	2020-03-07	0
2020-05-18	2020-03-08	1
2020-05-18	2020-03-09	2
2020-05-18	2020-03-10	1
2020-05-18	2020-03-11	1
2020-05-18	2020-03-12	4
2020-05-18	2020-03-13	2
2020-05-18	2020-03-14	3
2020-05-18	2020-03-15	4
2020-05-18	2020-03-16	11
2020-05-18	2020-03-17	12
2020-05-18	2020-03-18	12
2020-05-18	2020-03-19	21
2020-05-18	2020-03-20	39
2020-05-18	2020-03-21	24
2020-05-18	2020-03-22	41
2020-05-18	2020-03-23	40
2020-05-18	2020-03-24	65
2020-05-18	2020-03-25	75
2020-05-18	2020-03-26	89
2020-05-18	2020-03-27	102
2020-05-18	2020-03-28	107
2020-05-18	2020-03-29	115
2020-05-18	2020-03-30	170
2020-05-18	2020-03-31	162
2020-05-18	2020-04-01	163
2020-05-18	2020-04-02	199
2020-05-18	2020-04-03	195
2020-05-18	2020-04-04	221
2020-05-18	2020-04-05	234
2020-05-18	2020-04-06	239
2020-05-18	2020-04-07	246
2020-05-18	2020-04-08	252
2020-05-18	2020-04-09	252
2020-05-18	2020-04-10	232
2020-05-18	2020-04-11	238
2020-05-18	2020-04-12	229
2020-05-18	2020-04-13	237
2020-05-18	2020-04-14	240
2020-05-18	2020-04-15	219
2020-05-18	2020-04-16	232
2020-05-18	2020-04-17	229
2020-05-18	2020-04-18	180
2020-05-18	2020-04-19	203
2020-05-18	2020-04-20	204
2020-05-18	2020-04-21	168
2020-05-18	2020-04-22	187
2020-05-18	2020-04-23	147
2020-05-18	2020-04-24	156
2020-05-18	2020-04-25	121
2020-05-18	2020-04-26	140
2020-05-18	2020-04-27	121
2020-05-18	2020-04-28	120
2020-05-18	2020-04-29	123
2020-05-18	2020-04-30	115
2020-05-18	2020-05-01	98
2020-05-18	2020-05-02	75
2020-05-18	2020-05-03	87
2020-05-18	2020-05-04	76
2020-05-18	2020-05-05	83
2020-05-18	2020-05-06	72
2020-05-18	2020-05-07	51
2020-05-18	2020-05-08	50
2020-05-18	2020-05-09	50
2020-05-18	2020-05-10	58
2020-05-18	2020-05-11	56
2020-05-18	2020-05-12	38
2020-05-18	2020-05-13	35
2020-05-18	2020-05-14	36
2020-05-18	2020-05-15	14
2020-05-18	2020-05-16	2
2020-05-18	2020-05-17	4
2020-05-19	2020-03-07	0
2020-05-19	2020-03-08	1
2020-05-19	2020-03-09	2
2020-05-19	2020-03-10	1
2020-05-19	2020-03-11	1
2020-05-19	2020-03-12	4
2020-05-19	2020-03-13	2
2020-05-19	2020-03-14	3
2020-05-19	2020-03-15	4
2020-05-19	2020-03-16	11
2020-05-19	2020-03-17	12
2020-05-19	2020-03-18	12
2020-05-19	2020-03-19	21
2020-05-19	2020-03-20	39
2020-05-19	2020-03-21	24
2020-05-19	2020-03-22	41
2020-05-19	2020-03-23	40
2020-05-19	2020-03-24	65
2020-05-19	2020-03-25	75
2020-05-19	2020-03-26	91
2020-05-19	2020-03-27	102
2020-05-19	2020-03-28	107
2020-05-19	2020-03-29	115
2020-05-19	2020-03-30	170
2020-05-19	2020-03-31	162
2020-05-19	2020-04-01	163
