Altersgruppe;"Anzahl Fälle";Meldewoche;Jahr
70-79;9;25;2020
70-79;4;26;2020
70-79;1;27;2020
70-79;1;28;2020
70-79;1;29;2020
70-79;4;30;2020
70-79;8;31;2020
70-79;7;32;2020
70-79;7;33;2020
70-79;14;34;2020
70-79;14;35;2020
70-79;10;36;2020
70-79;20;37;2020
70-79;32;38;2020
70-79;30;39;2020
70-79;47;40;2020
70-79;76;41;2020
70-79;110;42;2020
70-79;195;43;2020
70-79;359;44;2020
70-79;337;45;2020
70-79;353;46;2020
70-79;369;47;2020
70-79;310;48;2020
70-79;326;49;2020
70-79;407;50;2020
70-79;520;51;2020
70-79;484;52;2020
70-79;473;53;2020
70-79;572;1;2021
70-79;514;2;2021
70-79;459;3;2021
70-79;391;4;2021
70-79;353;5;2021
70-79;288;6;2021
70-79;282;7;2021
70-79;290;8;2021
70-79;256;9;2021
70-79;266;10;2021
70-79;322;11;2021
70-79;393;12;2021
70-79;352;13;2021
70-79;332;14;2021
70-79;393;15;2021
70-79;151;16;2021
80-89;0;9;2020
80-89;0;10;2020
80-89;6;11;2020
80-89;36;12;2020
80-89;172;13;2020
80-89;192;14;2020
80-89;206;15;2020
80-89;154;16;2020
80-89;101;17;2020
80-89;47;18;2020
80-89;40;19;2020
80-89;28;20;2020
80-89;24;21;2020
80-89;12;22;2020
80-89;6;23;2020
80-89;15;24;2020
80-89;16;25;2020
80-89;5;26;2020
80-89;6;27;2020
80-89;3;28;2020
80-89;3;29;2020
80-89;4;30;2020
80-89;5;31;2020
80-89;4;32;2020
80-89;12;33;2020
80-89;3;34;2020
80-89;7;35;2020
80-89;5;36;2020
80-89;27;37;2020
80-89;28;38;2020
80-89;29;39;2020
80-89;48;40;2020
80-89;50;41;2020
80-89;93;42;2020
80-89;202;43;2020
80-89;339;44;2020
80-89;331;45;2020
80-89;393;46;2020
80-89;469;47;2020
80-89;380;48;2020
80-89;449;49;2020
80-89;565;50;2020
80-89;720;51;2020
80-89;652;52;2020
80-89;704;53;2020
80-89;885;1;2021
80-89;797;2;2021
80-89;702;3;2021
80-89;611;4;2021
80-89;581;5;2021
80-89;399;6;2021
80-89;292;7;2021
80-89;273;8;2021
80-89;194;9;2021
80-89;194;10;2021
80-89;199;11;2021
80-89;237;12;2021
80-89;222;13;2021
80-89;204;14;2021
80-89;191;15;2021
80-89;82;16;2021
90+;0;9;2020
90+;0;10;2020
90+;0;11;2020
90+;2;12;2020
90+;31;13;2020
90+;65;14;2020
90+;86;15;2020
90+;53;16;2020
90+;48;17;2020
90+;24;18;2020
90+;19;19;2020
90+;10;20;2020
90+;4;21;2020
90+;1;22;2020
90+;2;23;2020
90+;6;24;2020
90+;7;25;2020
90+;6;26;2020
90+;0;27;2020
