Altersgruppe;Meldewoche;"Anzahl Fälle";Jahr
70-79;31;8;2020
70-79;32;7;2020
70-79;33;7;2020
70-79;34;14;2020
70-79;35;14;2020
70-79;36;10;2020
70-79;37;20;2020
70-79;38;32;2020
70-79;39;30;2020
70-79;40;47;2020
70-79;41;77;2020
70-79;42;110;2020
70-79;43;194;2020
70-79;44;359;2020
70-79;45;336;2020
70-79;46;353;2020
70-79;47;369;2020
70-79;48;310;2020
70-79;49;325;2020
70-79;50;405;2020
70-79;51;516;2020
70-79;52;481;2020
70-79;53;473;2020
70-79;1;571;2021
70-79;2;505;2021
70-79;3;146;2021
80-89;9;0;2020
80-89;10;0;2020
80-89;11;6;2020
80-89;12;36;2020
80-89;13;172;2020
80-89;14;192;2020
80-89;15;206;2020
80-89;16;154;2020
80-89;17;101;2020
80-89;18;47;2020
80-89;19;40;2020
80-89;20;28;2020
80-89;21;24;2020
80-89;22;12;2020
80-89;23;6;2020
80-89;24;15;2020
80-89;25;16;2020
80-89;26;5;2020
80-89;27;6;2020
80-89;28;3;2020
80-89;29;3;2020
80-89;30;4;2020
80-89;31;5;2020
80-89;32;4;2020
80-89;33;12;2020
80-89;34;3;2020
80-89;35;7;2020
80-89;36;5;2020
80-89;37;27;2020
80-89;38;28;2020
80-89;39;29;2020
80-89;40;48;2020
80-89;41;50;2020
80-89;42;93;2020
80-89;43;202;2020
80-89;44;339;2020
80-89;45;330;2020
80-89;46;395;2020
80-89;47;464;2020
80-89;48;378;2020
80-89;49;448;2020
80-89;50;563;2020
80-89;51;712;2020
80-89;52;648;2020
80-89;53;698;2020
80-89;1;883;2021
80-89;2;786;2021
80-89;3;188;2021
90+;9;0;2020
90+;10;0;2020
90+;11;0;2020
90+;12;2;2020
90+;13;31;2020
90+;14;65;2020
90+;15;86;2020
90+;16;53;2020
90+;17;48;2020
90+;18;24;2020
90+;19;19;2020
90+;20;10;2020
90+;21;4;2020
90+;22;1;2020
90+;23;2;2020
90+;24;6;2020
90+;25;7;2020
90+;26;6;2020
90+;27;0;2020
90+;28;1;2020
90+;29;1;2020
90+;30;1;2020
90+;31;1;2020
90+;32;1;2020
90+;33;2;2020
90+;34;0;2020
90+;35;1;2020
90+;36;0;2020
90+;37;10;2020
90+;38;7;2020
90+;39;15;2020
90+;40;21;2020
90+;41;13;2020
90+;42;16;2020
90+;43;66;2020
90+;44;130;2020
90+;45;87;2020
90+;46;165;2020
90+;47;227;2020
90+;48;162;2020
90+;49;153;2020
90+;50;205;2020
90+;51;316;2020
90+;52;297;2020
90+;53;338;2020
90+;1;346;2021
90+;2;380;2021
90+;3;91;2021
