"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Landsberg a.Lech";1105;727;136;0;136;106;3310;4415
"LK Landshut";2357;1630;0;1;342;384;6085;8442
"LK Lichtenfels";1218;1155;1;0;55;7;2466;3684
"LK Lindau";975;823;13;0;120;19;2632;3607
"LK Main-Spessart";1482;1279;2;1;191;9;3489;4971
"LK Miesbach";904;802;2;0;82;18;3889;4793
"LK Miltenberg";1613;1308;2;0;286;17;4759;6372
"LK Mühldorf a.Inn";1998;1681;6;10;281;20;5337;7335
"LK München";3285;2583;6;3;523;170;13110;16395
"LK Neu-Ulm";2529;2154;70;3;280;22;5722;8251
"LK Neuburg-Schrobenhausen";1257;996;1;2;233;25;3266;4523
"LK Neumarkt i.d.OPf.";837;593;0;0;175;69;6089;6926
"LK Neustadt a.d.Aisch-Bad Windsheim";1145;1015;0;0;87;43;3402;4547
"LK Neustadt a.d.Waldnaab";1283;496;1;0;79;707;4104;5387
"LK Nürnberger Land";1674;1494;5;7;132;36;6033;7707
"LK Oberallgäu";2147;1775;53;2;231;86;4143;6290
"LK Ostallgäu";2814;2406;28;2;319;59;4774;7588
"LK Passau";2211;1947;33;2;203;26;10978;13189
"LK Pfaffenhofen a.d.Ilm";1690;1361;2;35;216;76;4308;5998
"LK Regen";1291;1153;1;1;121;15;4408;5699
"LK Regensburg";2891;2444;0;1;382;64;5908;8799
"LK Rhön-Grabfeld";1022;937;5;3;74;3;2636;3658
"LK Rosenheim";3112;2331;1;7;666;107;11847;14959
"LK Roth";1385;1206;3;0;159;17;4541;5926
"LK Rottal-Inn";1919;1656;13;11;225;14;5994;7913
"LK Schwandorf";3533;3194;0;0;267;72;5216;8749
"LK Schweinfurt";1381;1266;29;4;80;2;4060;5441
"LK Starnberg";1182;818;2;3;336;23;4354;5536
"LK Straubing-Bogen";1612;1389;1;1;185;36;4005;5617
"LK Tirschenreuth";1639;1564;0;0;62;13;3771;5410
"LK Traunstein";3058;2606;23;3;383;43;8538;11596
"LK Unterallgäu";2731;2344;3;7;361;16;5021;7752
"LK Weilheim-Schongau";1413;1091;5;0;316;1;4143;5556
"LK Weißenburg-Gunzenhausen";951;800;3;0;81;67;3185;4136
"LK Wunsiedel i.Fichtelgebirge";1645;1549;0;0;90;6;3488;5133
"LK Würzburg";1350;1055;7;3;282;3;3453;4803
"SK Amberg";622;318;0;0;124;180;1295;1917
"SK Ansbach";274;239;0;1;25;9;1702;1976
"SK Aschaffenburg";968;759;1;1;189;18;2787;3755
"SK Augsburg";5090;3115;70;12;1346;547;14470;19560
"SK Bamberg";801;580;4;0;213;4;2582;3383
"SK Bayreuth";969;891;0;0;78;0;2655;3624
"SK Coburg";637;585;3;0;48;1;1840;2477
"SK Erlangen";799;644;0;1;131;23;3441;4240
"SK Fürth";2366;2037;6;2;293;28;5743;8109
"SK Hof";1528;1406;2;0;62;58;2525;4053
"SK Ingolstadt";1830;1404;1;10;398;17;4881;6711
"SK Kaufbeuren";845;701;0;0;135;9;1732;2577
"SK Kempten";1459;1262;27;0;120;50;1999;3458
"SK Landshut";1241;745;1;0;260;235;3126;4367
"SK Memmingen";659;521;5;9;94;30;1795;2454
"SK München";16998;12729;86;39;3409;735;62113;79111
"SK Nürnberg";7031;5898;16;4;880;233;29311;36342
"SK Passau";466;401;0;0;59;6;3023;3489
"SK Regensburg";2512;2051;3;1;419;38;5097;7609
"SK Rosenheim";1070;724;0;10;300;36;3283;4353
"SK Schwabach";471;380;0;0;88;3;1803;2274
"SK Schweinfurt";1177;1071;25;9;69;3;2262;3439
"SK Straubing";765;642;0;1;111;11;1746;2511
"SK Weiden i.d.OPf.";707;309;2;1;88;307;2133;2840
"SK Würzburg";1529;1138;4;0;385;2;3510;5039
