"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Traunstein";2792;2606;23;3;117;43;8451;11243
"LK Unterallgäu";2441;2344;3;7;71;16;4938;7379
"LK Weilheim-Schongau";1185;1091;5;0;88;1;4105;5290
"LK Weißenburg-Gunzenhausen";896;800;3;0;26;67;3057;3953
"LK Wunsiedel i.Fichtelgebirge";1573;1549;0;0;18;6;3481;5054
"LK Würzburg";1147;1054;7;3;80;3;3383;4530
"SK Amberg";548;317;0;0;51;180;1260;1808
"SK Ansbach";256;239;0;1;10;6;1638;1894
"SK Aschaffenburg";874;759;1;1;95;18;2736;3610
"SK Augsburg";4157;3117;71;12;410;547;14322;18479
"SK Bamberg";704;580;4;0;116;4;2552;3256
"SK Bayreuth";909;890;0;0;19;0;2612;3521
"SK Coburg";603;585;3;0;14;1;1817;2420
"SK Erlangen";723;643;0;1;56;23;3367;4090
"SK Fürth";2135;2037;6;2;62;28;5690;7825
"SK Hof";1480;1402;2;0;15;61;2521;4001
"SK Ingolstadt";1534;1407;1;10;99;17;4799;6333
"SK Kaufbeuren";734;700;0;0;25;9;1692;2426
"SK Kempten";1374;1266;27;0;30;51;1946;3320
"SK Landshut";1047;745;1;0;65;236;3110;4157
"SK Memmingen";576;521;5;9;11;30;1709;2285
"SK München";15060;12721;84;39;1486;730;60755;75815
"SK Nürnberg";6403;5899;14;4;266;220;28787;35190
"SK Passau";420;402;0;0;12;6;2982;3402
"SK Regensburg";2236;2051;3;1;144;37;4981;7217
"SK Rosenheim";804;723;0;10;35;36;3190;3994
"SK Schwabach";397;380;0;0;14;3;1774;2171
"SK Schweinfurt";1133;1071;25;9;25;3;2087;3220
"SK Straubing";667;641;0;1;14;11;1733;2400
"SK Weiden i.d.OPf.";627;309;2;1;9;306;2118;2745
"SK Würzburg";1267;1136;4;0;125;2;3439;4706
