"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"SK Memmingen";729;521;5;9;164;30;1829;2558
"SK München";19606;12739;87;40;5997;743;63637;83243
"SK Nürnberg";7625;5899;16;4;1469;237;29895;37520
"SK Passau";523;401;0;0;116;6;3051;3574
"SK Regensburg";2654;2051;3;1;561;38;5249;7903
"SK Rosenheim";1239;724;0;10;469;36;3374;4613
"SK Schwabach";513;380;0;0;129;4;1841;2354
"SK Schweinfurt";1268;1071;25;9;160;3;2309;3577
"SK Straubing";851;642;0;1;196;12;1751;2602
"SK Weiden i.d.OPf.";726;309;2;1;107;307;2142;2868
"SK Würzburg";1738;1138;4;0;594;2;3548;5286
