"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"SK Erlangen";707;642;0;0;42;23;3360;4067
"SK Fürth";2117;2037;6;2;44;28;5680;7797
"SK Hof";1473;1399;2;0;10;62;2517;3990
"SK Ingolstadt";1511;1406;1;10;77;17;4789;6300
"SK Kaufbeuren";729;700;0;0;21;8;1689;2418
"SK Kempten";1363;1266;27;0;19;51;1938;3301
"SK Landshut";1028;745;1;0;47;235;3111;4139
"SK Memmingen";572;521;5;9;7;30;1701;2273
"SK München";14784;12714;82;39;1218;731;60534;75318
"SK Nürnberg";6306;5897;14;4;170;221;28724;35030
"SK Passau";414;402;0;0;6;6;2976;3390
"SK Regensburg";2208;2051;3;1;116;37;4955;7163
"SK Rosenheim";787;723;0;10;18;36;3177;3964
"SK Schwabach";389;380;0;0;6;3;1774;2163
"SK Schweinfurt";1130;1071;25;9;22;3;2067;3197
"SK Straubing";660;641;0;1;7;11;1734;2394
"SK Weiden i.d.OPf.";621;309;2;1;3;306;2091;2712
"SK Würzburg";1226;1136;4;0;84;2;3442;4668
