"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Nürnberger Land";2149;1495;7;7;601;39;6363;8512
"LK Oberallgäu";2907;1775;53;2;980;97;4546;7453
"LK Ostallgäu";3645;2403;28;2;1149;63;5200;8845
"LK Passau";3048;1947;33;2;1038;28;11602;14650
"LK Pfaffenhofen a.d.Ilm";2245;1361;2;35;771;76;4587;6832
"LK Regen";1677;1153;1;1;507;15;4728;6405
"LK Regensburg";3678;2444;1;1;1166;66;6600;10278
"LK Rhön-Grabfeld";1304;938;5;3;354;4;2829;4133
"LK Rosenheim";5321;2331;1;7;2875;107;13562;18883
"LK Roth";1992;1205;3;0;766;18;4752;6744
"LK Rottal-Inn";2548;1656;13;11;854;14;6474;9022
"LK Schwandorf";4108;3193;1;2;840;72;5458;9566
"LK Schweinfurt";1705;1264;29;4;406;2;4452;6157
"LK Starnberg";1738;818;2;3;890;25;4556;6294
"LK Straubing-Bogen";2380;1390;1;1;947;41;4473;6853
"LK Tirschenreuth";1723;1564;0;0;146;13;3833;5556
"LK Traunstein";4924;2605;23;3;2250;43;10109;15033
"LK Unterallgäu";3594;2343;3;7;1225;16;5437;9031
"LK Weilheim-Schongau";2085;1091;5;0;988;1;4354;6439
"LK Weißenburg-Gunzenhausen";1415;800;3;0;545;67;3596;5011
"LK Wunsiedel i.Fichtelgebirge";1816;1549;0;0;261;6;3533;5349
"LK Würzburg";1880;1055;7;3;812;3;3591;5471
"SK Amberg";933;319;0;1;433;180;1402;2335
"SK Ansbach";386;239;0;1;135;11;1855;2241
"SK Aschaffenburg";1306;759;1;1;527;18;2923;4229
"SK Augsburg";7259;3115;70;12;3514;548;14963;22222
"SK Bamberg";1078;582;5;0;485;6;2698;3776
"SK Bayreuth";1171;909;0;0;262;0;2760;3931
"SK Coburg";762;587;4;1;169;1;1903;2665
"SK Erlangen";1045;645;0;1;374;25;3735;4780
"SK Fürth";3156;2038;6;2;1082;28;6023;9179
"SK Hof";1693;1406;2;0;226;59;2595;4288
"SK Ingolstadt";2743;1404;1;10;1311;17;5383;8126
"SK Kaufbeuren";1025;700;0;0;314;11;1814;2839
"SK Kempten";1858;1262;28;0;512;56;2153;4011
"SK Landshut";1735;745;1;0;754;235;3190;4925
"SK Memmingen";852;521;5;9;287;30;1945;2797
"SK München";25258;12741;88;42;11615;772;67153;92411
"SK Nürnberg";9204;5899;18;4;3010;273;31981;41185
"SK Passau";652;401;0;0;245;6;3152;3804
"SK Regensburg";3375;2051;3;1;1277;43;5851;9226
"SK Rosenheim";1698;724;0;10;928;36;3589;5287
"SK Schwabach";694;381;0;0;308;5;1904;2598
"SK Schweinfurt";1466;1068;25;9;362;2;2524;3990
"SK Straubing";1079;642;0;1;425;11;1906;2985
"SK Weiden i.d.OPf.";809;309;2;1;190;307;2189;2998
"SK Würzburg";2122;1137;4;0;979;2;3668;5790
