"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Neumarkt i.d.OPf.";1117;594;0;0;452;71;6439;7556
"LK Neustadt a.d.Aisch-Bad Windsheim";1308;1015;0;0;251;42;3495;4803
"LK Neustadt a.d.Waldnaab";1353;496;1;0;149;707;4160;5513
"LK Nürnberger Land";1832;1494;5;7;290;36;6253;8085
"LK Oberallgäu";2540;1774;53;2;625;86;4276;6816
"LK Ostallgäu";3208;2403;28;2;716;59;4938;8146
"LK Passau";2506;1947;33;2;496;28;11158;13664
"LK Pfaffenhofen a.d.Ilm";2021;1361;2;35;547;76;4413;6434
"LK Regen";1509;1153;1;1;339;15;4460;5969
"LK Regensburg";3161;2445;0;1;650;65;6110;9271
"LK Rhön-Grabfeld";1162;938;5;3;213;3;2741;3903
"LK Rosenheim";4275;2331;1;7;1829;107;12608;16883
"LK Roth";1722;1205;3;0;497;17;4641;6363
"LK Rottal-Inn";2200;1656;13;11;506;14;6118;8318
"LK Schwandorf";3781;3193;1;2;513;72;5306;9087
"LK Schweinfurt";1545;1264;29;4;246;2;4228;5773
"LK Starnberg";1483;818;2;3;637;23;4510;5993
"LK Straubing-Bogen";1855;1389;1;1;426;38;4084;5939
"LK Tirschenreuth";1680;1564;0;0;103;13;3798;5478
"LK Traunstein";4278;2605;23;3;1604;43;8912;13190
"LK Unterallgäu";3241;2344;3;7;871;16;5156;8397
"LK Weilheim-Schongau";1741;1091;5;0;644;1;4240;5981
"LK Weißenburg-Gunzenhausen";1166;800;3;0;296;67;3296;4462
"LK Wunsiedel i.Fichtelgebirge";1742;1549;0;0;187;6;3502;5244
"LK Würzburg";1659;1055;7;3;591;3;3484;5143
"SK Amberg";797;319;0;1;297;180;1327;2124
"SK Ansbach";356;240;0;1;105;10;1765;2121
"SK Aschaffenburg";1197;759;1;1;418;18;2890;4087
"SK Augsburg";6438;3115;70;12;2694;547;14635;21073
"SK Bamberg";959;580;5;0;368;6;2641;3600
"SK Bayreuth";1093;905;0;0;188;0;2716;3809
"SK Coburg";698;586;4;0;107;1;1865;2563
"SK Erlangen";927;645;0;1;258;23;3639;4566
"SK Fürth";2806;2037;6;2;733;28;5881;8687
"SK Hof";1634;1406;2;0;168;58;2571;4205
"SK Ingolstadt";2435;1404;1;11;1002;17;5118;7553
"SK Kaufbeuren";965;700;0;0;254;11;1768;2733
"SK Kempten";1662;1262;27;0;323;50;2033;3695
"SK Landshut";1512;745;1;0;531;235;3160;4672
"SK Memmingen";777;521;5;9;212;30;1863;2640
"SK München";22016;12740;88;40;8390;758;64672;86688
"SK Nürnberg";8203;5899;17;4;2020;263;30821;39024
"SK Passau";568;401;0;0;160;7;3095;3663
"SK Regensburg";2855;2051;3;1;757;43;5326;8181
"SK Rosenheim";1386;724;0;10;616;36;3397;4783
"SK Schwabach";575;381;0;0;189;5;1862;2437
"SK Schweinfurt";1338;1068;25;9;234;2;2377;3715
"SK Straubing";893;642;0;1;239;11;1782;2675
"SK Weiden i.d.OPf.";744;309;2;1;125;307;2162;2906
"SK Würzburg";1903;1137;4;0;760;2;3565;5468
