"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"SK Memmingen";882;521;5;9;317;30;2026;2908
"SK München";26980;12748;91;41;13304;796;68681;95661
"SK Nürnberg";9402;5899;18;4;3208;273;32965;42367
"SK Passau";681;401;0;0;274;6;3258;3939
"SK Regensburg";3652;2051;3;1;1550;47;6107;9759
"SK Rosenheim";1824;724;0;10;1054;36;3694;5518
"SK Schwabach";739;381;0;0;352;6;1951;2690
"SK Schweinfurt";1532;1068;25;9;428;2;2615;4147
"SK Straubing";1162;642;0;1;508;11;2007;3169
"SK Weiden i.d.OPf.";813;309;2;1;194;307;2253;3066
"SK Würzburg";2265;1137;4;0;1122;2;3803;6068
