"meldelandkreis";"Jahr";"MW";" keine Angaben";"VOC";"andere Varianten"
"LK Ansbach";"2021";"31";9;12;2
"LK Ansbach";"2021";"32";11;1;0
"LK Ansbach";"2021";"33";29;8;0
"LK Ansbach";"2021";"34";45;22;3
"LK Ansbach";"2021";"35";66;24;2
"LK Ansbach";"2021";"36";80;44;10
"LK Ansbach";"2021";"37";54;17;4
"LK Ansbach";"2021";"38";100;38;7
"LK Ansbach";"2021";"39";124;35;9
"LK Ansbach";"2021";"40";162;65;8
"LK Ansbach";"2021";"41";153;74;8
"LK Ansbach";"2021";"42";157;137;20
"LK Ansbach";"2021";"43";192;182;4
"LK Ansbach";"2021";"44";255;252;23
"LK Ansbach";"2021";"45";653;216;44
"LK Ansbach";"2021";"46";1207;66;15
"LK Aschaffenburg";"2021";"01";346;0;3
"LK Aschaffenburg";"2021";"02";300;0;2
"LK Aschaffenburg";"2021";"03";284;4;4
"LK Aschaffenburg";"2021";"04";208;13;8
"LK Aschaffenburg";"2021";"05";118;14;2
"LK Aschaffenburg";"2021";"06";75;13;3
"LK Aschaffenburg";"2021";"07";73;7;4
"LK Aschaffenburg";"2021";"08";48;21;3
"LK Aschaffenburg";"2021";"09";69;44;4
"LK Aschaffenburg";"2021";"10";67;71;0
"LK Aschaffenburg";"2021";"11";82;87;2
"LK Aschaffenburg";"2021";"12";72;131;1
"LK Aschaffenburg";"2021";"13";63;142;2
"LK Aschaffenburg";"2021";"14";69;173;5
"LK Aschaffenburg";"2021";"15";75;154;20
"LK Aschaffenburg";"2021";"16";87;136;18
"LK Aschaffenburg";"2021";"17";82;138;19
"LK Aschaffenburg";"2021";"18";75;101;4
"LK Aschaffenburg";"2021";"19";65;86;5
"LK Aschaffenburg";"2021";"20";31;54;1
"LK Aschaffenburg";"2021";"21";25;25;1
"LK Aschaffenburg";"2021";"22";15;24;0
"LK Aschaffenburg";"2021";"23";6;9;0
"LK Aschaffenburg";"2021";"24";6;8;0
"LK Aschaffenburg";"2021";"25";2;9;0
"LK Aschaffenburg";"2021";"26";2;10;0
"LK Aschaffenburg";"2021";"27";3;5;0
"LK Aschaffenburg";"2021";"28";3;6;1
"LK Aschaffenburg";"2021";"29";3;18;0
"LK Aschaffenburg";"2021";"30";10;14;0
"LK Aschaffenburg";"2021";"31";8;20;0
"LK Aschaffenburg";"2021";"32";9;31;1
"LK Aschaffenburg";"2021";"33";13;40;0
