"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Neustadt a.d.Waldnaab";1208;496;1;0;4;707;4050;5258
"LK Nürnberger Land";1545;1492;4;8;6;35;5913;7458
"LK Oberallgäu";1921;1769;53;1;10;88;4045;5966
"LK Ostallgäu";2508;2402;28;2;19;57;4657;7165
"LK Passau";2014;1944;33;2;8;27;10948;12962
"LK Pfaffenhofen a.d.Ilm";1475;1359;2;35;3;76;4185;5660
"LK Regen";1100;1076;1;0;6;17;4431;5531
"LK Regensburg";2521;2437;0;1;22;61;5790;8311
"LK Rhön-Grabfeld";941;928;5;3;2;3;2609;3550
"LK Rosenheim";2452;2326;1;6;12;107;11493;13945
"LK Roth";1228;1205;3;0;3;17;4463;5691
"LK Rottal-Inn";1695;1656;13;11;1;14;5858;7553
"LK Schwandorf";3270;3192;0;0;4;74;5119;8389
"LK Schweinfurt";1310;1265;29;4;10;2;3841;5151
"LK Starnberg";858;815;2;3;15;23;4268;5126
"LK Straubing-Bogen";1415;1374;1;1;3;36;3954;5369
"LK Tirschenreuth";1533;1515;0;0;1;17;3784;5317
"LK Traunstein";2690;2607;23;3;14;43;8406;11096
"LK Unterallgäu";2375;2345;3;7;3;17;4910;7285
"LK Weilheim-Schongau";1104;1093;5;0;5;1;4062;5166
"LK Weißenburg-Gunzenhausen";880;800;3;0;10;67;3041;3921
"LK Wunsiedel i.Fichtelgebirge";1559;1549;0;0;4;6;3472;5031
"LK Würzburg";1097;1053;7;3;31;3;3374;4471
"SK Amberg";499;317;0;0;2;180;1252;1751
"SK Ansbach";250;238;0;1;5;6;1625;1875
"SK Aschaffenburg";796;757;1;1;19;18;2704;3500
"SK Augsburg";3816;3122;70;12;67;545;14211;18027
"SK Bamberg";608;579;4;0;22;3;2510;3118
"SK Bayreuth";890;890;0;0;0;0;2581;3471
"SK Coburg";591;585;3;0;2;1;1812;2403
"SK Erlangen";670;642;0;0;6;22;3336;4006
"SK Fürth";2079;2032;6;2;12;27;5667;7746
"SK Hof";1465;1398;2;0;3;62;2507;3972
"SK Ingolstadt";1444;1402;1;10;14;17;4759;6203
"SK Kaufbeuren";709;700;0;0;1;8;1679;2388
"SK Kempten";1343;1265;27;0;0;51;1932;3275
"SK Landshut";994;747;1;0;12;234;3095;4089
"SK Memmingen";566;521;5;9;1;30;1690;2256
"SK München";13904;12612;78;36;374;804;59952;73856
"SK Nürnberg";6161;5877;12;4;45;223;28572;34733
"SK Passau";407;396;0;0;4;7;2994;3401
"SK Regensburg";2112;2050;3;1;23;35;4907;7019
"SK Rosenheim";770;723;0;9;2;36;3170;3940
"SK Schwabach";383;380;0;0;0;3;1772;2155
"SK Schweinfurt";1116;1071;25;8;9;3;2058;3174
"SK Straubing";653;641;0;1;0;11;1726;2379
"SK Weiden i.d.OPf.";618;309;2;1;0;306;2078;2696
"SK Würzburg";1162;1133;4;0;23;2;3411;4573
