"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Tirschenreuth";1699;1564;0;0;122;13;3804;5503
"LK Traunstein";4577;2605;23;3;1903;43;9036;13613
"LK Unterallgäu";3329;2343;3;7;960;16;5195;8524
"LK Weilheim-Schongau";1862;1091;5;0;765;1;4267;6129
"LK Weißenburg-Gunzenhausen";1238;800;3;0;368;67;3374;4612
"LK Wunsiedel i.Fichtelgebirge";1759;1549;0;0;204;6;3511;5270
"LK Würzburg";1716;1055;7;3;648;3;3511;5227
"SK Amberg";829;319;0;1;329;180;1358;2187
"SK Ansbach";364;239;0;1;113;11;1805;2169
"SK Aschaffenburg";1247;759;1;1;468;18;2899;4146
"SK Augsburg";6667;3115;70;12;2923;547;14699;21366
"SK Bamberg";978;580;5;0;387;6;2648;3626
"SK Bayreuth";1128;908;0;0;220;0;2729;3857
"SK Coburg";717;586;4;0;126;1;1870;2587
"SK Erlangen";970;645;0;1;301;23;3654;4624
"SK Fürth";2896;2038;6;2;822;28;5925;8821
"SK Hof";1658;1406;2;0;192;58;2574;4232
"SK Ingolstadt";2523;1404;1;10;1091;17;5170;7693
"SK Kaufbeuren";974;700;0;0;263;11;1771;2745
"SK Kempten";1735;1262;27;0;396;50;2042;3777
"SK Landshut";1585;745;1;0;604;235;3158;4743
"SK Memmingen";791;521;5;9;226;30;1870;2661
"SK München";23130;12738;88;40;9497;767;65555;88685
"SK Nürnberg";8545;5899;17;4;2354;271;31174;39719
"SK Passau";585;401;0;0;177;7;3114;3699
"SK Regensburg";2948;2051;3;1;853;40;5403;8351
"SK Rosenheim";1484;724;0;10;714;36;3437;4921
"SK Schwabach";624;381;0;0;239;4;1861;2485
"SK Schweinfurt";1363;1068;25;9;259;2;2413;3776
"SK Straubing";933;642;0;1;279;11;1797;2730
"SK Weiden i.d.OPf.";769;309;2;1;150;307;2167;2936
"SK Würzburg";1968;1137;4;0;825;2;3582;5550
