"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Roth";3274;1205;3;0;2043;23;6230;9504
"LK Rottal-Inn";2971;1651;13;11;1282;14;12367;15338
"LK Schwandorf";5791;3193;1;3;2522;72;7575;13366
"LK Schweinfurt";2475;1264;29;4;1176;2;6097;8572
"LK Starnberg";2462;819;2;3;1615;23;6348;8810
"LK Straubing-Bogen";3319;1390;2;1;1884;42;6967;10286
"LK Tirschenreuth";2048;1564;0;0;471;13;4620;6668
"LK Traunstein";5794;2605;23;3;3120;43;17461;23255
"LK Unterallgäu";4996;2343;3;7;2627;16;9373;14369
"LK Weilheim-Schongau";2990;1091;5;0;1893;1;6864;9854
"LK Weißenburg-Gunzenhausen";1891;800;3;0;1021;67;6042;7933
"LK Wunsiedel i.Fichtelgebirge";2587;1549;0;0;1032;6;3884;6471
"LK Würzburg";3120;1056;7;5;2049;3;4500;7620
"SK Amberg";1210;319;0;1;710;180;1900;3110
"SK Ansbach";617;239;0;1;365;12;2412;3029
"SK Aschaffenburg";1883;759;1;1;1104;18;3551;5434
"SK Augsburg";9817;3115;70;12;6072;548;19035;28852
"SK Bamberg";1318;582;5;0;721;10;3705;5023
"SK Bayreuth";1494;908;0;0;586;0;3443;4937
"SK Coburg";965;587;4;1;371;2;2343;3308
"SK Erlangen";1417;645;0;1;746;25;4789;6206
"SK Fürth";4742;2038;6;2;2661;35;7322;12064
"SK Hof";1923;1406;2;0;456;59;2935;4858
"SK Ingolstadt";3995;1404;1;12;2561;17;7353;11348
"SK Kaufbeuren";1183;700;0;0;467;16;2832;4015
"SK Kempten";2205;1262;28;0;851;64;3950;6155
"SK Landshut";2583;746;1;0;1601;235;4014;6597
"SK Memmingen";1056;521;5;9;490;31;2967;4023
"SK München";37036;12752;98;42;23308;836;87319;124355
"SK Nürnberg";10249;5899;18;4;4043;285;41821;52070
"SK Passau";931;401;0;0;524;6;4261;5192
"SK Regensburg";4048;2051;3;1;1939;54;8750;12798
"SK Rosenheim";2200;724;0;10;1429;37;5147;7347
"SK Schwabach";1032;381;0;0;646;5;2497;3529
"SK Schweinfurt";1902;1068;25;9;798;2;3229;5131
"SK Straubing";1491;642;1;1;836;11;2760;4251
"SK Weiden i.d.OPf.";933;309;2;1;314;307;2791;3724
"SK Würzburg";3237;1136;4;0;2094;3;4430;7667
