Bundesland;SterbeZeit;Sterbewoche;Sterbejahr;Anzahl verstorbene COVID-19 Fälle
NW;36;36;2020;11
NW;37;37;2020;9
NW;38;38;2020;17
NW;39;39;2020;20
NW;40;40;2020;18
NW;41;41;2020;37
NW;42;42;2020;56
NW;43;43;2020;102
NW;44;44;2020;205
NW;45;45;2020;268
NW;46;46;2020;350
NW;47;47;2020;418
NW;48;48;2020;562
NW;49;49;2020;595
NW;50;50;2020;709
NW;51;51;2020;885
NW;52;52;2020;1018
NW;53;53;2020;1037
NW;54;1;2021;849
RP;10;10;2020;0
RP;11;11;2020;0
RP;12;12;2020;5
RP;13;13;2020;18
RP;14;14;2020;24
RP;15;15;2020;38
RP;16;16;2020;41
RP;17;17;2020;40
RP;18;18;2020;22
RP;19;19;2020;19
RP;20;20;2020;18
RP;21;21;2020;7
RP;22;22;2020;0
RP;23;23;2020;<4
RP;24;24;2020;<4
RP;25;25;2020;0
RP;26;26;2020;<4
RP;27;27;2020;0
RP;28;28;2020;<4
RP;29;29;2020;<4
RP;30;30;2020;0
RP;31;31;2020;<4
RP;32;32;2020;<4
RP;33;33;2020;<4
RP;34;34;2020;<4
RP;35;35;2020;0
RP;36;36;2020;<4
RP;37;37;2020;<4
RP;38;38;2020;0
RP;39;39;2020;6
RP;40;40;2020;<4
RP;41;41;2020;5
RP;42;42;2020;7
RP;43;43;2020;7
RP;44;44;2020;33
RP;45;45;2020;43
RP;46;46;2020;64
RP;47;47;2020;92
RP;48;48;2020;147
RP;49;49;2020;186
RP;50;50;2020;222
RP;51;51;2020;220
RP;52;52;2020;240
RP;53;53;2020;222
RP;54;1;2021;214
SL;10;10;2020;0
SL;11;11;2020;0
SL;12;12;2020;<4
SL;13;13;2020;7
SL;14;14;2020;22
SL;15;15;2020;37
SL;16;16;2020;39
SL;17;17;2020;18
SL;18;18;2020;14
SL;19;19;2020;9
SL;20;20;2020;8
SL;21;21;2020;5
SL;22;22;2020;<4
SL;23;23;2020;<4
SL;24;24;2020;<4
SL;25;25;2020;<4
SL;26;26;2020;<4
SL;27;27;2020;<4
SL;28;28;2020;0
SL;29;29;2020;0
SL;30;30;2020;0
SL;31;31;2020;0
SL;32;32;2020;0
SL;33;33;2020;0
SL;34;34;2020;0
