Bundesland;Sterbejahr;Sterbewoche;Anzahl verstorbene COVID-19 Fälle
HH;2020;50;66
HH;2020;51;94
HH;2020;52;84
HH;2020;53;105
HH;2021;1;95
HH;2021;2;80
HH;2021;3;89
HH;2021;4;67
HH;2021;5;57
HH;2021;6;36
HH;2021;7;38
HH;2021;8;41
HH;2021;9;30
HH;2021;10;23
HH;2021;11;27
HH;2021;12;29
HH;2021;13;26
HH;2021;14;16
HH;2021;15;20
HH;2021;16;27
HH;2021;17;22
HH;2021;18;25
HH;2021;19;9
HH;2021;20;9
HH;2021;21;9
HH;2021;22;8
HH;2021;23;4
HH;2021;24;4
HH;2021;25;<4
HH;2021;26;<4
HH;2021;27;<4
HH;2021;28;4
HH;2021;29;<4
HH;2021;30;<4
HH;2021;31;<4
HH;2021;32;5
HH;2021;33;6
HH;2021;34;4
HH;2021;35;13
HH;2021;36;19
HH;2021;37;26
HH;2021;38;19
HH;2021;39;14
HH;2021;40;10
HH;2021;41;6
HH;2021;42;9
HH;2021;43;17
HH;2021;44;22
HH;2021;45;16
HH;2021;46;23
HH;2021;47;24
HH;2021;48;22
HH;2021;49;28
HH;2021;50;26
HH;2021;51;23
HH;2021;52;32
HH;2022;1;21
HH;2022;2;29
HH;2022;3;49
HH;2022;4;57
HH;2022;5;37
HH;2022;6;53
HH;2022;7;37
HH;2022;8;28
HH;2022;9;19
HH;2022;10;10
HH;2022;11;20
HH;2022;12;21
HH;2022;13;10
HE;2020;10;0
HE;2020;11;0
HE;2020;12;4
HE;2020;13;15
HE;2020;14;55
HE;2020;15;89
HE;2020;16;93
HE;2020;17;80
HE;2020;18;40
HE;2020;19;37
HE;2020;20;21
HE;2020;21;20
HE;2020;22;13
HE;2020;23;10
HE;2020;24;<4
HE;2020;25;6
HE;2020;26;<4
HE;2020;27;<4
HE;2020;28;<4
HE;2020;29;<4
HE;2020;30;<4
HE;2020;31;4
HE;2020;32;<4
HE;2020;33;<4
HE;2020;34;<4
HE;2020;35;6
HE;2020;36;0
HE;2020;37;4
HE;2020;38;5
HE;2020;39;7
HE;2020;40;<4
HE;2020;41;11
HE;2020;42;20
HE;2020;43;52
HE;2020;44;66
HE;2020;45;120
HE;2020;46;158
HE;2020;47;193
HE;2020;48;236
HE;2020;49;318
HE;2020;50;367
HE;2020;51;447
HE;2020;52;514
HE;2020;53;508
HE;2021;1;496
HE;2021;2;423
HE;2021;3;360
HE;2021;4;344
HE;2021;5;282
HE;2021;6;224
HE;2021;7;154
HE;2021;8;119
HE;2021;9;96
HE;2021;10;104
HE;2021;11;87
HE;2021;12;109
HE;2021;13;113
HE;2021;14;122
HE;2021;15;121
HE;2021;16;125
HE;2021;17;130
HE;2021;18;123
HE;2021;19;84
HE;2021;20;73
HE;2021;21;69
HE;2021;22;39
HE;2021;23;22
HE;2021;24;21
HE;2021;25;11
HE;2021;26;10
HE;2021;27;8
HE;2021;28;9
HE;2021;29;13
HE;2021;30;4
HE;2021;31;7
HE;2021;32;14
HE;2021;33;12
HE;2021;34;13
HE;2021;35;19
HE;2021;36;28
HE;2021;37;35
HE;2021;38;36
HE;2021;39;30
HE;2021;40;19
HE;2021;41;23
HE;2021;42;28
HE;2021;43;50
HE;2021;44;63
HE;2021;45;85
HE;2021;46;103
HE;2021;47;91
HE;2021;48;112
HE;2021;49;112
HE;2021;50;88
HE;2021;51;77
HE;2021;52;61
HE;2022;1;60
HE;2022;2;54
HE;2022;3;53
HE;2022;4;48
HE;2022;5;62
HE;2022;6;86
HE;2022;7;106
HE;2022;8;95
HE;2022;9;77
HE;2022;10;81
HE;2022;11;75
HE;2022;12;56
HE;2022;13;55
MV;2020;10;0
MV;2020;11;0
MV;2020;12;0
MV;2020;13;<4
MV;2020;14;6
MV;2020;15;<4
MV;2020;16;4
MV;2020;17;<4
MV;2020;18;<4
MV;2020;19;<4
MV;2020;20;0
MV;2020;21;0
MV;2020;22;0
MV;2020;23;0
MV;2020;24;0
MV;2020;25;0
MV;2020;26;0
MV;2020;27;0
MV;2020;28;0
MV;2020;29;0
MV;2020;30;0
MV;2020;31;0
MV;2020;32;0
MV;2020;33;0
MV;2020;34;0
MV;2020;35;0
MV;2020;36;0
MV;2020;37;0
MV;2020;38;0
MV;2020;39;0
MV;2020;40;0
MV;2020;41;0
MV;2020;42;<4
MV;2020;43;<4
MV;2020;44;<4
MV;2020;45;7
MV;2020;46;9
MV;2020;47;16
MV;2020;48;12
MV;2020;49;15
MV;2020;50;23
MV;2020;51;26
MV;2020;52;41
MV;2020;53;44
MV;2021;1;66
MV;2021;2;71
MV;2021;3;97
MV;2021;4;102
MV;2021;5;92
MV;2021;6;59
MV;2021;7;55
MV;2021;8;34
MV;2021;9;38
MV;2021;10;27
MV;2021;11;31
MV;2021;12;30
MV;2021;13;38
MV;2021;14;36
MV;2021;15;24
MV;2021;16;35
MV;2021;17;31
MV;2021;18;39
MV;2021;19;27
MV;2021;20;13
MV;2021;21;7
MV;2021;22;5
MV;2021;23;4
MV;2021;24;<4
MV;2021;25;<4
MV;2021;26;4
MV;2021;27;0
MV;2021;28;0
MV;2021;29;<4
MV;2021;30;0
MV;2021;31;<4
MV;2021;32;0
MV;2021;33;<4
MV;2021;34;4
MV;2021;35;<4
MV;2021;36;<4
MV;2021;37;<4
MV;2021;38;<4
MV;2021;39;4
MV;2021;40;4
MV;2021;41;13
MV;2021;42;15
MV;2021;43;20
MV;2021;44;10
MV;2021;45;15
MV;2021;46;29
MV;2021;47;28
MV;2021;48;29
MV;2021;49;46
MV;2021;50;47
MV;2021;51;33
MV;2021;52;30
MV;2022;1;40
MV;2022;2;34
MV;2022;3;26
MV;2022;4;24
MV;2022;5;24
MV;2022;6;34
MV;2022;7;35
MV;2022;8;40
MV;2022;9;46
MV;2022;10;44
MV;2022;11;51
MV;2022;12;67
MV;2022;13;50
NI;2020;10;0
NI;2020;11;0
NI;2020;12;7
NI;2020;13;30
NI;2020;14;97
