Bundesland;Sterbewoche;Sterbejahr;Anzahl verstorbene COVID-19 Fälle
RP;51;2020;235
RP;52;2020;263
RP;53;2020;250
SL;1;2021;68
SL;2;2021;58
SL;3;2021;50
SL;4;2021;40
SL;5;2021;42
SL;6;2021;35
SL;7;2021;29
SL;8;2021;18
SL;9;2021;18
SL;10;2020;0
SL;10;2021;9
SL;11;2020;0
SL;11;2021;5
SL;12;2020;<4
SL;12;2021;4
SL;13;2020;7
SL;14;2020;22
SL;15;2020;37
SL;16;2020;39
SL;17;2020;19
SL;18;2020;14
SL;19;2020;9
SL;20;2020;8
SL;21;2020;5
SL;22;2020;<4
SL;23;2020;<4
SL;24;2020;<4
SL;25;2020;<4
SL;26;2020;<4
SL;27;2020;<4
SL;28;2020;0
SL;29;2020;0
SL;30;2020;0
SL;31;2020;0
SL;32;2020;0
SL;33;2020;0
SL;34;2020;0
SL;35;2020;<4
SL;36;2020;0
SL;37;2020;0
SL;38;2020;<4
SL;39;2020;<4
SL;40;2020;0
SL;41;2020;0
SL;42;2020;<4
SL;43;2020;5
SL;44;2020;16
SL;45;2020;19
SL;46;2020;22
SL;47;2020;28
SL;48;2020;16
SL;49;2020;35
SL;50;2020;43
SL;51;2020;52
SL;52;2020;52
SL;53;2020;60
SN;1;2021;693
SN;2;2021;518
SN;3;2021;464
SN;4;2021;409
SN;5;2021;296
SN;6;2021;251
SN;7;2021;160
SN;8;2021;140
SN;9;2021;113
SN;10;2020;0
SN;10;2021;119
SN;11;2020;0
SN;11;2021;93
SN;12;2020;<4
SN;12;2021;119
SN;13;2020;12
SN;14;2020;38
SN;15;2020;36
SN;16;2020;43
SN;17;2020;28
SN;18;2020;24
SN;19;2020;13
SN;20;2020;8
SN;21;2020;9
SN;22;2020;4
SN;23;2020;5
SN;24;2020;<4
SN;25;2020;0
SN;26;2020;<4
SN;27;2020;<4
SN;28;2020;0
SN;29;2020;0
SN;30;2020;0
SN;31;2020;0
SN;32;2020;0
SN;33;2020;0
SN;34;2020;0
SN;35;2020;0
SN;36;2020;0
SN;37;2020;<4
SN;38;2020;<4
SN;39;2020;6
SN;40;2020;9
SN;41;2020;9
SN;42;2020;26
SN;43;2020;49
SN;44;2020;99
SN;45;2020;143
SN;46;2020;219
SN;47;2020;266
SN;48;2020;420
SN;49;2020;456
SN;50;2020;636
SN;51;2020;858
SN;52;2020;883
SN;53;2020;765
ST;1;2021;224
ST;2;2021;268
ST;3;2021;261
ST;4;2021;218
ST;5;2021;184
ST;6;2021;148
ST;7;2021;119
ST;8;2021;84
ST;9;2021;68
ST;10;2020;0
ST;10;2021;70
ST;11;2020;0
ST;11;2021;47
ST;12;2020;<4
